Cinsiyet,Şirket Konumu,Çalışma Durumu,Çalışma Şekli,Çalışan Sayısı,Deneyim,Sektör,Pozisyon,Pozisyonunuzun Ismi?.1,Aylık Net Maaş (TL),"Yıllık Ek Gelir (Prim, Bonus)",Yan Haklar
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,1-3 Yıl,Üretim,Veri giriş ve raporlama,Veri Giriş Ve Raporlama,10.000-20.000 TL,31.000-50.000 TL,Ulaşım Yardımı
Kadın,Yurt dışı,Tam zamanlı,Uzaktan,1-49,1-3 Yıl,Diğer,Digital marketing director ,Dijital Pazarlama Direktoru,101.000-120.000 TL,10.000-30.000 TL,Şirket Telefonu
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,7-9 Yıl,Otomotiv,Kalite sistem mühendisi,Kalite Sistem Mühendisi,41.000-50.000 TL,31.000-50.000 TL,"Özel Sağlık Sigortası, Şirket Telefonu, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Hybrid,1-49,1-3 Yıl,Diğer,Digital Marketing Specialist,Digital Marketing Specialist,31.000-40.000 TL,10.000-30.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Diğer,uzman,Uzman,41.000-50.000 TL,51.000-70.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu"
Kadın,Yurt dışı,Tam zamanlı,Hybrid,200 ve ustu,5-7 Yıl,Finans ve Muhasebe,Due Diligence,Due Diligence,71.000-80.000 TL,10.000-30.000 TL,"Özel Sağlık Sigortası, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,3-5 Yıl,Sağlık ve Tıp,Hemşire,Hemşire,31.000-40.000 TL,31.000-50.000 TL,"Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,0-1 Yıl,Eğitim,Psikolojik Danışman ,Psikolojik Danışman ,10.000-20.000 TL,10.000-30.000 TL,"Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Uzaktan,1-49,1-3 Yıl,Diğer,Sosyal Medya Uzmanı,Sosyal Medya Uzmanı,31.000-40.000 TL,10.000-30.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,1-3 Yıl,Finans ve Muhasebe,İş analisti ,İş Analisti ,31.000-40.000 TL,91.000-110.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu"
